"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TP53INP2"	-0.715672508518992	5.50983641705388	-10.4432122924589	2.51615778497069e-24	1.09752661169541e-21	44.3513961349751
"SERHL"	-1.05858865729791	3.348813785976	-10.4119707945719	3.38649839385906e-24	1.44638757442718e-21	44.1236396017347
"GCHFR"	-0.782963628331556	3.08979123180951	-10.3827684339346	4.46752375401044e-24	1.83177408961936e-21	43.854641545865
"C1orf173"	2.22865061011855	-0.528904393517754	10.3887154449279	4.22266272805985e-24	1.76671037934602e-21	43.7737570081375
"SOX11"	-1.87279644777198	1.66009601516881	-10.3535455787786	5.8911431162187e-24	2.3681240201098e-21	43.5634933331477
"SERPINA3"	1.88054454119988	8.78679659441054	10.1046369790064	6.06068369694502e-23	2.34434106549188e-20	41.1900547014639
"ABCC2"	-1.49012248833929	-0.918593004526112	-10.1170311991658	5.40229804855271e-23	2.12985600564191e-20	41.1576110068627
"DCAKD"	0.578097212886173	5.38799555279272	10.0733472954361	8.09817167893173e-23	3.07445588129221e-20	40.9645151960702
"NUDT6"	0.757288802502977	1.93833735204097	9.97247884782395	2.05120133381857e-22	7.64575973538447e-20	39.9729215202705
"NUDT8"	-1.14419352842867	1.84946619071322	-9.95679079118093	2.3685929137117e-22	8.67116487928633e-20	39.9353648888986
"MBOAT1"	1.00811978274814	5.39017287663127	9.9001420285018	3.9760458672921e-22	1.43005116360273e-19	39.4133494203029
"CDON"	1.2083376492422	4.65052563972044	9.88457407015456	4.58240112869729e-22	1.61972078516247e-19	39.3086325874878
"PMAIP1"	1.40651524038265	3.5861040628477	9.86258871393167	5.59772405023329e-22	1.94506679243784e-19	39.0933788599875
"LOC400940"	-1.55624273347818	-4.06093897442693	-9.84966594540043	6.29547334217623e-22	2.15105831646592e-19	38.9727689679441
"ELP2"	0.931600451138968	6.84917576439924	9.8408184146072	6.82222156479666e-22	2.2928256442606e-19	38.822488543317
"TRPV6"	-1.92498326118923	1.84188130343387	-9.81641823702999	8.51209687126062e-22	2.81462093480184e-19	38.7037214435031
"PHF15"	0.814806953817382	5.72412155961445	9.78473468839864	1.13383096259198e-21	3.68962993080924e-19	38.3589832916512
"BCL2"	1.41075668402713	5.98720942504841	9.78255450469693	1.15638953212921e-21	3.70424090596576e-19	38.3487516749138
"CDK12"	-0.72184464945382	6.33414211155626	-9.77463322851588	1.24215891453892e-21	3.91776921645575e-19	38.2193008550864
"OSBPL1A"	0.731502691310119	6.03484873517935	9.7141984244213	2.14079691559856e-21	6.64976932828578e-19	37.7171316338431
"IYD"	-2.20628652901846	-0.945893280878295	-9.68501296473045	2.7817140351195e-21	8.5116297662664e-19	37.3932023224616
"SUSD2"	-1.15470418168633	4.84173930567427	-9.65691278941886	3.57731864404678e-21	1.07850896355299e-18	37.2105265810454
"TARBP1"	0.656968415659374	5.58425307484515	9.6296130985391	4.5650312483209e-21	1.35634355973662e-18	36.9890103629696
"CRYM"	-2.10196907563942	-1.03567023081514	-9.57352556993319	7.52008531240193e-21	2.20241812842217e-18	36.419804476313
"QPRT"	-1.14705942249712	3.45312127169536	-9.50901210719253	1.33134845326293e-20	3.79082981115879e-18	35.9860587173046
"DNM1P35"	0.886114743355959	-0.317585760738823	9.52800091901283	1.12568660624248e-20	3.25038043867283e-18	35.9597309485681
"S100A8"	-1.9722428425946	1.97598440531323	-9.49839484578541	1.46213126490163e-20	4.05069635969572e-18	35.9219504502854
"MED1"	-0.796174088069936	6.49086035409751	-9.49886309917798	1.4561039834119e-20	4.05069635969572e-18	35.7909332498457
"KYNU"	-1.29559459211889	2.87041441815866	-9.48387964784873	1.66173286538811e-20	4.5422913964429e-18	35.7884285716299
"ZC3H6"	0.698709901332489	4.1174435269242	9.43013596079907	2.66517995477507e-20	7.18932292800576e-18	35.3280737251819
"DUSP10"	-0.757260630868409	4.32790566948071	-9.39673535382687	3.57068659550205e-20	9.50683712914124e-18	34.9816988430833
"FUT3"	-1.96280234229045	0.358772573943714	-9.37074004071009	4.48082938218251e-20	1.17771132261697e-17	34.7731479820423
"LOC100128977"	1.70697225910777	-2.38261296826938	9.34305134431462	5.70350822082124e-20	1.48009648145641e-17	34.5907470943484
"KRT20"	-1.31745309556138	-4.65893349846517	-9.320405912128	6.94466097761293e-20	1.77965618377553e-17	34.3976821393457
"NBPF6"	2.10773450492424	-1.68229071918172	9.30543214480342	7.90857546212206e-20	2.00165068578968e-17	34.2636993134675
"C6orf155"	1.59005874839711	0.800383491359936	9.29448219754493	8.69619970662294e-20	2.17415597787167e-17	34.0049686558437
"RPL19"	-0.682711978937779	9.9337626399731	-9.27743204191192	1.00797828906145e-19	2.48970637398178e-17	33.8666841246024
"CRISP3"	-2.58095691518104	-0.2446814415487	-9.2589071273457	1.18306686847586e-19	2.88738736555043e-17	33.8241344139792
"NXNL2"	1.64023985284165	-0.89750488844171	9.23626960669001	1.43831565587069e-19	3.46904814835354e-17	33.6245559962922
"DMRTC2"	-1.7779550333124	-3.94963637418297	-9.1925586302782	2.09506573043524e-19	4.93688994708654e-17	33.2993503489865
"LRRC59"	-0.599491845110097	7.60043602516457	-9.20484094234041	1.88523038622046e-19	4.49408234277973e-17	33.2589021557333
"FAIM2"	-1.46948442095394	1.45644246853361	-9.16659718286863	2.61764287521356e-19	6.09821552099467e-17	33.0930092187865
"NCRNA00173"	1.3643857623247	-0.487526470632605	9.1269739876525	3.67350848759641e-19	8.36784416713489e-17	32.6648737831429
"BDKRB1"	-1.00522268584548	-0.746522559649925	-9.12799283202435	3.64169355494606e-19	8.36784416713489e-17	32.6306971993442
"CDC6"	-1.09931313720158	4.11511232700741	-9.11004124487551	4.24436654769597e-19	9.56195149388079e-17	32.5498208195889
"C2orf73"	1.05097685440949	-2.85212919090263	9.07604925847553	5.66831931404729e-19	1.26311102453569e-16	32.3467967352705
"LOC100128675"	0.957936397632767	-2.97967888117737	9.06456843205389	6.24887727357029e-19	1.36285354239856e-16	32.2508897731427
"HMGN4"	0.434908615044058	6.31080087816434	9.06555174114934	6.19693214845965e-19	1.36285354239856e-16	32.1202338002543
"ISX"	-1.0551162598193	-4.71837937801785	-9.01778173634167	9.2879120789861e-19	2.0043314266452e-16	31.8550389594041
"PCSK6"	1.48758770777195	5.20009412865939	9.01333491788055	9.6435816157281e-19	2.05940694483377e-16	31.7882160401725
"SAMD11"	-1.57456298150752	1.28485102062589	-8.99520383065545	1.12385977125487e-18	2.35104583372409e-16	31.6709960746612
"SPINK8"	-2.33106606405107	-2.08530908688886	-9.0049931949186	1.03474967964395e-18	2.18694878168871e-16	31.6421984401719
"LRRC26"	-1.72114242512204	0.888333789008098	-8.98710206575478	1.20331578619614e-18	2.4918360538189e-16	31.5945475091411
"SLC15A2"	-1.23098094988648	1.92666217692819	-8.94810591892928	1.67057983319172e-18	3.42485571602634e-16	31.2921890121479
"TYW3"	0.460487441247282	4.70530125229388	8.92318725230232	2.05895862704151e-18	4.17927829831466e-16	31.0261439617693
"FBXL20"	-0.668266574563054	3.2113835709837	-8.91080683047252	2.2838735020692e-18	4.54579521028356e-16	30.9677001512466
"SRD5A3"	-0.598258563689296	5.34331542321442	-8.91751556274256	2.15913877785815e-18	4.33965726322253e-16	30.9027628244189
